,population_density,housing_density,median_age,median_male_age,pct_white,median_income,school_districts,pct_lt_hs_grad,median_rooms,pct_hs_grad,pct_at_least_col_grad,GEOID,state,tract,NAME,NatWalkInd,ALAND,ALAND_SQMI,county,Pair_ID
5106,17536.0,7432.0,40.2,41.5,0.7121350364963503,43385,['Los Angeles Unified School District'],0.2971264367816092,2.9,0.1247126436781609,0.2793103448275862,6037124204,6,124204,"Census Tract 1242.04, Los Angeles County, California",15.0,324351,0.125,37,0.0
5615,17857.142857142855,7660.714285714285,39.5,41.2,0.38,41136,['Los Angeles Unified School District'],0.3335443037974683,3.2,0.1278481012658227,0.3272151898734177,6037195720,6,195720,"Census Tract 1957.20, Los Angeles County, California",15.083333335,288980,0.112,37,0.0
4081,21436.01895734597,4947.8672985782,28.4,27.2,0.440636745522883,44375,['Los Angeles Unified School District'],0.6266511266511267,4.3,0.1697746697746697,0.0353535353535353,6037228310,6,228310,"Census Tract 2283.10, Los Angeles County, California",14.875,546319,0.211,37,1.0
5145,20220.23809523809,4803.571428571428,28.7,26.8,0.5940535766853106,45404,"['Los Angeles Unified School District', 'Montebello Unified School District']",0.5893319523562921,4.8,0.1677887105126877,0.0388399792853443,6037531502,6,531502,"Census Tract 5315.02, Los Angeles County, California",14.8333333325,435565,0.168,37,1.0
5532,7957.650273224044,2241.8032786885246,34.9,32.8,0.5608583690987125,79728,"['Azusa Unified School District', 'Covina-Valley Unified School District']",0.2139650872817955,5.0,0.2927680798004987,0.1673316708229426,6037405800,6,405800,"Census Tract 4058, Los Angeles County, California",14.499999996666666,1895340,0.732,37,2.0
5280,7982.926829268293,2259.756097560976,35.6,32.2,0.2207454934311029,82125,['Compton Unified School District'],0.1922894985808893,5.5,0.2999053926206244,0.1537369914853358,6037541200,6,541200,"Census Tract 5412, Los Angeles County, California",14.133333332,2123398,0.82,37,2.0
4373,10327.868852459016,2309.1334894613583,31.2,31.3,0.5061224489795918,52436,"['El Monte Union High School District', 'Mountain View Elementary School District']",0.4239494235775381,5.0,0.3179620676831536,0.0766084046113797,6037434001,6,434001,"Census Tract 4340.01, Los Angeles County, California",15.5,1105066,0.427,37,3.0
5550,9410.852713178294,2306.201550387597,31.0,30.7,0.3422570016474464,54375,['El Rancho Unified School District'],0.3822751322751322,4.4,0.3171296296296296,0.1256613756613756,6037500402,6,500402,"Census Tract 5004.02, Los Angeles County, California",15.38888889,1335853,0.516,37,3.0
7030,8344.262295081966,2402.550091074681,29.6,28.4,0.5217201484392054,55993,"['Alvord Unified School District', 'Riverside Unified School District']",0.2472701655512504,4.0,0.3053892215568862,0.1109545614653046,6065041408,6,41408,"Census Tract 414.08, Riverside County, California",11.916666665,1422469,0.549,65,4.0
7187,9162.087912087913,2222.5274725274726,30.1,28.0,0.3985007496251874,56130,['Moreno Valley Unified School District'],0.3206879109762266,5.4,0.3019726858877086,0.1138088012139605,6065042517,6,42517,"Census Tract 425.17, Riverside County, California",11.75,943427,0.364,65,4.0
13156,2106.103023516237,766.7973124300112,36.9,35.4,0.0963711285391466,55744,['Duval County School District'],0.0423332032774092,5.5,0.2660944206008583,0.2493172063987514,12031010304,12,10304,"Census Tract 103.04, Duval County, Florida",10.777777777666666,9252095,3.572,31,5.0
13093,3121.942039894618,1247.2713586751977,37.0,35.5,0.706088004822182,53307,['Duval County School District'],0.09665991902834,5.2,0.2741228070175439,0.3625168690958165,12031016722,12,16722,"Census Tract 167.22, Duval County, Florida",11.055555555666666,6881790,2.657,31,5.0
17059,2300.6503251625813,801.400700350175,43.3,43.1,0.5642530984996739,122857,['Fulton County School District'],0.02922286448298,7.8,0.081888246628131,0.7675016056518946,13121011618,13,11618,"Census Tract 116.18, Fulton County, Georgia",8.166666667,5178115,1.999,121,6.0
17064,3553.9466212379334,1240.772288472459,42.8,42.4,0.4702404729567788,121389,['Fulton County School District'],0.0430561900411146,7.1,0.0725216994061215,0.6995203289173139,13121011623,13,11623,"Census Tract 116.23, Fulton County, Georgia",8.333333333499999,9120721,3.522,121,6.0
24272,11808.917197452229,4073.248407643312,25.4,22.2,0.3594929881337648,21596,['Springfield School District'],0.3372278279341476,4.3,0.3170472650026553,0.0748805098247477,25013801901,25,801901,"Census Tract 8019.01, Hampden County, Massachusetts",14.58333333,812271,0.314,13,7.0
24308,12707.395498392283,4003.2154340836014,25.3,22.1,0.826163967611336,22807,['Holyoke School District'],0.4028197381671702,4.4,0.3066465256797583,0.1112789526686807,25013811600,25,811600,"Census Tract 8116, Hampden County, Massachusetts",14.708333335,804837,0.311,13,7.0
48820,5778.532608695652,1721.4673913043478,33.4,33.9,0.8706795203385845,36530,['Houston Independent School District'],0.518881626724764,5.2,0.256717501815541,0.0453885257806826,48201220400,48,220400,"Census Tract 2204, Harris County, Texas",12.72222222,1905169,0.736,201,8.0
49441,5408.07799442897,1909.4707520891368,32.7,33.7,0.4712850888488282,38972,"['Aldine Independent School District', 'Houston Independent School District']",0.5041288191577209,4.3,0.2555739058629232,0.1358381502890173,48201532200,48,532200,"Census Tract 5322, Harris County, Texas",12.83333333,1860154,0.718,201,8.0
