,Unnamed: 0,population_density,housing_density,median_age,median_male_age,pct_white_x,median_income,school_districts,pct_lt_hs_grad,median_rooms,pct_hs_grad,pct_at_least_col_grad,GEOID,state,tract,NAME,NatWalkInd,ALAND,ALAND_SQMI,county,Pair_ID,pct_white_x,pct_white_y,pct_hisp,pct_black,pct_asian,pct_native,pct_not_hispanic
0,5189,11307.69231,2844.017094,34.3,33,0.65457294,56021,['Los Angeles Unified School District'],0.462553802,4.6,0.287517934,0.111047346,6037104320,6,104320,"Census Tract 1043.20, Los Angeles County, California",15.20833333,1212169,0.468,37,0,0.65457294,0.026266062,0.891534392,0.046107332,0.01095994,0.000377929,0.108465608
1,3512,9828.282828,3207.070707,33.8,33.1,0.372559096,55997,['Los Angeles Unified School District'],0.223565732,3.5,0.283766401,0.210959609,6037127210,6,127210,"Census Tract 1272.10, Los Angeles County, California",15.05555555,1539742,0.594,37,0,0.372559096,0.177800617,0.608256252,0.107057211,0.097122302,0,0.391743748
2,5106,17536,7432,40.2,41.5,0.712135036,43385,['Los Angeles Unified School District'],0.297126437,2.9,0.124712644,0.279310345,6037124204,6,124204,"Census Tract 1242.04, Los Angeles County, California",15,324351,0.125,37,1,0.712135036,0.302463504,0.554744526,0.031934307,0.051094891,0,0.445255474
3,5615,17857.14286,7660.714286,39.5,41.2,0.38,41136,['Los Angeles Unified School District'],0.333544304,3.2,0.127848101,0.32721519,6037195720,6,195720,"Census Tract 1957.20, Los Angeles County, California",15.08333334,288980,0.112,37,1,0.38,0.2045,0.631,0.0065,0.115,0,0.369
4,4081,21436.01896,4947.867299,28.4,27.2,0.440636746,44375,['Los Angeles Unified School District'],0.626651127,4.3,0.16977467,0.035353535,6037228310,6,228310,"Census Tract 2283.10, Los Angeles County, California",14.875,546319,0.211,37,2,0.440636746,0.006853858,0.942516029,0.047092638,0,0.001105461,0.057483971
5,5145,20220.2381,4803.571429,28.7,26.8,0.594053577,45404,"['Los Angeles Unified School District', 'Montebello Unified School District']",0.589331952,4.8,0.167788711,0.038839979,6037531502,6,531502,"Census Tract 5315.02, Los Angeles County, California",14.83333333,435565,0.168,37,2,0.594053577,0.008242567,0.987047395,0,0.004710038,0,0.012952605
6,5492,6441.212121,2397.575758,39.6,39.2,0.730523146,66429,['Burbank Unified School District'],0.075025694,4.5,0.185251799,0.349177801,6037310800,6,310800,"Census Tract 3108, Los Angeles County, California",15.36666667,2136454,0.825,37,3,0.730523146,0.538765525,0.303914189,0.010914565,0.100865638,0.005833647,0.696085811
7,3831,7034.33923,2601.456816,40.3,39.3,0.097633136,66103,"['Alhambra Unified School District', 'Montebello Unified School District']",0.137069139,4.6,0.187663777,0.420882887,6037482002,6,482002,"Census Tract 4820.02, Los Angeles County, California",15.83333333,2488396,0.961,37,3,0.097633136,0.040532544,0.316715976,0.014349112,0.610502959,0.009023669,0.683284024
8,3699,7082.792208,1594.155844,30.9,30.2,0.508365803,56667,['Pomona Unified School District'],0.330921554,5.4,0.263137852,0.142802742,6037402903,6,402903,"Census Tract 4029.03, Los Angeles County, California",13.33333333,1594430,0.616,37,4,0.508365803,0.043318817,0.794178318,0.036213614,0.110703644,0,0.205821682
9,4160,6772.916667,1912.5,31.7,30.4,0.275299908,59375,"['Compton Unified School District', 'Los Angeles Unified School District']",0.285299807,5.3,0.263539652,0.117988395,6037541100,6,541100,"Census Tract 5411, Los Angeles County, California",13.77777778,1244459,0.48,37,4,0.275299908,0.019378653,0.552137804,0.384804675,0.01845586,0,0.447862196
10,5532,7957.650273,2241.803279,34.9,32.8,0.560858369,79728,"['Azusa Unified School District', 'Covina-Valley Unified School District']",0.213965087,5,0.29276808,0.167331671,6037405800,6,405800,"Census Tract 4058, Los Angeles County, California",14.5,1895340,0.732,37,5,0.560858369,0.151759657,0.680343348,0.011330472,0.098369099,0,0.319656652
11,5280,7982.926829,2259.756098,35.6,32.2,0.220745493,82125,['Compton Unified School District'],0.192289499,5.5,0.299905393,0.153736991,6037541200,6,541200,"Census Tract 5412, Los Angeles County, California",14.13333333,2123398,0.82,37,5,0.220745493,0.010082493,0.480293309,0.471280171,0.007485487,0,0.519706691
12,4028,15258.27815,3695.364238,30.8,30.9,0.297092014,61429,['Hacienda La Puente Unified School District'],0.390076059,4.7,0.3187251,0.055776892,6037407601,6,407601,"Census Tract 4076.01, Los Angeles County, California",14.61111111,781203,0.302,37,6,0.297092014,0.025607639,0.837456597,0.014105903,0.1171875,0,0.162543403
13,4556,14296.06625,3233.954451,30.7,30.5,0.570456191,60934,['Lynwood Unified School District'],0.351681253,5.3,0.306310456,0.126900046,6037540102,6,540102,"Census Tract 5401.02, Los Angeles County, California",14.70833333,1250584,0.483,37,6,0.570456191,0.01230992,0.865314989,0.106589428,0,0.012599566,0.134685011
14,5665,22267.54386,6122.807018,28.6,28.6,0.467992909,39474,"['El Monte City School District', 'El Monte Union High School District', 'Rosemead Elementary School District']",0.444850498,3.9,0.26744186,0.094019934,6037432802,6,432802,"Census Tract 4328.02, Los Angeles County, California",12.66666667,591782,0.228,37,7,0.467992909,0.017333071,0.725231436,0,0.243056923,0,0.274768564
15,5777,22391.02564,5714.74359,29.4,27.6,0.777268823,42750,['Los Angeles Unified School District'],0.426051902,4.1,0.25547997,0.087931469,6037533603,6,533603,"Census Tract 5336.03, Los Angeles County, California",12.44444444,806971,0.312,37,7,0.777268823,0.069424563,0.914113942,0.006727741,0,0.002576582,0.085886058
16,4373,10327.86885,2309.133489,31.2,31.3,0.506122449,52436,"['El Monte Union High School District', 'Mountain View Elementary School District']",0.423949424,5,0.317962068,0.076608405,6037434001,6,434001,"Census Tract 4340.01, Los Angeles County, California",15.5,1105066,0.427,37,8,0.506122449,0.03106576,0.801133787,0.001360544,0.162585034,0.003854875,0.198866213
17,5550,9410.852713,2306.20155,31,30.7,0.342257002,54375,['El Rancho Unified School District'],0.382275132,4.4,0.31712963,0.125661376,6037500402,6,500402,"Census Tract 5004.02, Los Angeles County, California",15.38888889,1335853,0.516,37,8,0.342257002,0.018533773,0.975906096,0,0,0,0.024093904
18,4151,6705.615942,1881.34058,38.2,38.2,0.714440092,82479,"['Downey Unified School District', 'Los Angeles Unified School District']",0.214087851,5.4,0.224178868,0.304115552,6037550800,6,550800,"Census Tract 5508, Los Angeles County, California",13.5952381,2860226,1.104,37,9,0.714440092,0.132243685,0.790220181,0.007429421,0.059165203,0,0.209779819
19,4270,7156.950673,1690.58296,38.5,39.1,0.381578947,79750,"['Long Beach Unified School District', 'Paramount Unified School District']",0.212389381,5.5,0.236609222,0.17093619,6037570100,6,570100,"Census Tract 5701, Los Angeles County, California",14,1154366,0.446,37,9,0.381578947,0.153822055,0.454887218,0.205513784,0.168546366,0,0.545112782
20,6325,3665.661136,1261.437908,45.4,46.2,0.226992182,133993,"['Buena Park Elementary School District', 'Fullerton Elementary School District', 'Fullerton Joint Union High School District', 'La Habra City Elementary School District', 'Lowell Joint Elementary School District']",0.031054823,6.4,0.072345593,0.658049965,6059001707,6,1707,"Census Tract 17.07, Orange County, California",11.625,5152163,1.989,59,10,0.226992182,0.137018242,0.154299822,0.010012344,0.671101358,0.002605953,0.845700178
21,6441,4663.489736,1537.390029,45.6,45.3,0.748938846,137266,"['Capistrano Unified School District', 'Saddleback Valley Unified School District']",0.038351961,7.2,0.084593469,0.604646066,6059032038,6,32038,"Census Tract 320.38, Orange County, California",11.16666666,3532420,1.364,59,10,0.748938846,0.655400094,0.125294765,0,0.150290835,0,0.874705235
22,6327,8937.743191,3256.809339,43.2,43.3,0.752503265,108478,"['Huntington Beach Union High School District', 'Ocean View Elementary School District']",0.053111251,5.7,0.154305468,0.431175361,6059099408,6,99408,"Census Tract 994.08, Orange County, California",14.05555556,1331052,0.514,59,11,0.752503265,0.666739225,0.139094471,0.019373095,0.127122333,0,0.860905529
23,6347,9838.435374,3042.517007,42.9,42.8,0.370613656,111169,"['Anaheim Union High School District', 'Centralia Elementary School District', 'Cypress Elementary School District']",0.084914611,6.1,0.166271347,0.478652751,6059110102,6,110102,"Census Tract 1101.02, Orange County, California",14.33333333,1522630,0.588,59,11,0.370613656,0.276923077,0.166119274,0.036300778,0.477787381,0.001901469,0.833880726
24,7030,8344.262295,2402.550091,29.6,28.4,0.521720148,55993,"['Alvord Unified School District', 'Riverside Unified School District']",0.247270166,4,0.305389222,0.110954561,6065041408,6,41408,"Census Tract 414.08, Riverside County, California",11.91666667,1422469,0.549,65,12,0.521720148,0.218947828,0.620606854,0.060903733,0.043003711,0,0.379393146
25,7187,9162.087912,2222.527473,30.1,28,0.39850075,56130,['Moreno Valley Unified School District'],0.320687911,5.4,0.301972686,0.113808801,6065042517,6,42517,"Census Tract 425.17, Riverside County, California",11.75,943427,0.364,65,12,0.39850075,0.136131934,0.702848576,0.110344828,0.027886057,0,0.297151424
26,9720,6473.563218,2142.528736,32.1,29.8,0.456676136,49677,['Fairfield-Suisun Unified School District'],0.168802228,4.6,0.344846797,0.104735376,6095252501,6,252501,"Census Tract 2525.01, Solano County, California",14.91666667,1126761,0.435,95,13,0.456676136,0.234019886,0.560369318,0.158735795,0.037286932,0,0.439630682
27,9727,6253.564155,2354.378819,31.2,29.2,0.684253379,53685,['Vacaville Unified School District'],0.074124726,5.1,0.35749453,0.143873085,6095253107,6,253107,"Census Tract 2531.07, Solano County, California",15.04166667,2543548,0.982,95,13,0.684253379,0.4543234,0.326819736,0.076046247,0.086630842,0.003256799,0.673180264
28,12819,6119.318182,2320.075758,43.9,44.6,0.793252863,48442,['Broward County School District'],0.13991684,4.3,0.323700624,0.259043659,12011010200,12,10200,"Census Tract 102, Broward County, Florida",13.88888889,2734652,1.056,11,14,0.793252863,0.656143609,0.162333643,0.045806252,0.096255029,0.007737543,0.837666357
29,12696,6961.77686,2882.231405,43.9,44.5,0.447395756,46297,['Broward County School District'],0.111781848,4.6,0.324729392,0.282472939,12011060105,12,60105,"Census Tract 601.05, Broward County, Florida",13.75,2506485,0.968,11,14,0.447395756,0.261908295,0.244398279,0.412820893,0.064401246,0.00089034,0.755601721
30,13156,2106.103024,766.7973124,36.9,35.4,0.096371129,55744,['Duval County School District'],0.042333203,5.5,0.266094421,0.249317206,12031010304,12,10304,"Census Tract 103.04, Duval County, Florida",10.77777778,9252095,3.572,31,15,0.096371129,0.082413931,0.026319288,0.888342417,0,0,0.973680712
31,13093,3121.94204,1247.271359,37,35.5,0.706088005,53307,['Duval County School District'],0.096659919,5.2,0.274122807,0.362516869,12031016722,12,16722,"Census Tract 167.22, Duval County, Florida",11.05555556,6881790,2.657,31,15,0.706088005,0.629053647,0.128149488,0.16503918,0.051476793,0,0.871850512
32,17059,2300.650325,801.4007004,43.3,43.1,0.564253098,122857,['Fulton County School District'],0.029222864,7.8,0.081888247,0.767501606,13121011618,13,11618,"Census Tract 116.18, Fulton County, Georgia",8.166666667,5178115,1.999,121,16,0.564253098,0.535551207,0.033702979,0.130680583,0.284192216,0,0.966297021
33,17064,3553.946621,1240.772288,42.8,42.4,0.470240473,121389,['Fulton County School District'],0.04305619,7.1,0.072521699,0.699520329,13121011623,13,11623,"Census Tract 116.23, Fulton County, Georgia",8.333333333,9120721,3.522,121,16,0.470240473,0.453223616,0.043620676,0.106335384,0.37405129,0,0.956379324
34,18349,7333.333333,2892.215569,39.3,37.4,0.841045182,61342,"['Community High School District 218', 'Oak Lawn-Hometown School District 123']",0.09610984,5.4,0.258581236,0.297482838,17031822702,17,822702,"Census Tract 8227.02, Cook County, Illinois",16.77777778,1298804,0.501,31,17,0.841045182,0.679640719,0.19760479,0.099346761,0.013881328,0,0.80239521
