V1,id,question,treatment,property,abs_value_diff,value_diff,Index,Property,question_treatment,question_control,population_density,walk_score,median_household_income,median_age,race,median_rooms_rounded,bedrooms,bathrooms,sq_ft,year_built,housing_density,median_male_age,pct_white,school_districts,pct_lt_hs_grad,median_rooms,pct_hs_grad,pct_at_least_col_grad,GEOID,state,tract,NAME,ALAND,ALAND_SQMI,county,Pair_ID,INTPTLAT,INTPTLONG,iframe,Racial majority detail,white_value_diff,is_white,street_view_person
1,8,3s,1,Property 2,30000,-30000,3831,Property 2,p3s-1,p3n-1,7034.33923,15.83333333,66103,40.3,asian,4,3,2,2116,2004,2601.456816,39.3,0.09763313609,"['Alhambra Unified School District', 'Montebello Unified School District']",0.1370691393,4.6,0.1876637775,0.4208828865,6037482002,6,482002,"Census Tract 4820.02, Los Angeles County, California",2488396,0.961,37,3,34.0488369,-118.1482676,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""""></iframe>",asian,-30000,0,0
3,9,3s,1,Property 2,8000,-8000,3831,Property 2,p3s-1,p3n-1,7034.33923,15.83333333,66103,40.3,asian,4,3,2,2116,2004,2601.456816,39.3,0.09763313609,"['Alhambra Unified School District', 'Montebello Unified School District']",0.1370691393,4.6,0.1876637775,0.4208828865,6037482002,6,482002,"Census Tract 4820.02, Los Angeles County, California",2488396,0.961,37,3,34.0488369,-118.1482676,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""""></iframe>",asian,-8000,0,0
5,11,3s,1,Property 2,10000,-10000,3831,Property 2,p3s-1,p3n-1,7034.33923,15.83333333,66103,40.3,asian,4,3,2,2116,2004,2601.456816,39.3,0.09763313609,"['Alhambra Unified School District', 'Montebello Unified School District']",0.1370691393,4.6,0.1876637775,0.4208828865,6037482002,6,482002,"Census Tract 4820.02, Los Angeles County, California",2488396,0.961,37,3,34.0488369,-118.1482676,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""""></iframe>",asian,-10000,0,0
7,14,3s,1,Property 2,15000,-15000,3831,Property 2,p3s-1,p3n-1,7034.33923,15.83333333,66103,40.3,asian,4,3,2,2116,2004,2601.456816,39.3,0.09763313609,"['Alhambra Unified School District', 'Montebello Unified School District']",0.1370691393,4.6,0.1876637775,0.4208828865,6037482002,6,482002,"Census Tract 4820.02, Los Angeles County, California",2488396,0.961,37,3,34.0488369,-118.1482676,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""""></iframe>",asian,-15000,0,0
9,16,3s,1,Property 2,250000,-250000,3831,Property 2,p3s-1,p3n-1,7034.33923,15.83333333,66103,40.3,asian,4,3,2,2116,2004,2601.456816,39.3,0.09763313609,"['Alhambra Unified School District', 'Montebello Unified School District']",0.1370691393,4.6,0.1876637775,0.4208828865,6037482002,6,482002,"Census Tract 4820.02, Los Angeles County, California",2488396,0.961,37,3,34.0488369,-118.1482676,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""""></iframe>",asian,-250000,0,0
11,17,3s,1,Property 2,200000,-200000,3831,Property 2,p3s-1,p3n-1,7034.33923,15.83333333,66103,40.3,asian,4,3,2,2116,2004,2601.456816,39.3,0.09763313609,"['Alhambra Unified School District', 'Montebello Unified School District']",0.1370691393,4.6,0.1876637775,0.4208828865,6037482002,6,482002,"Census Tract 4820.02, Los Angeles County, California",2488396,0.961,37,3,34.0488369,-118.1482676,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""""></iframe>",asian,-200000,0,0
12,20,3s,1,Property 1,15000,15000,5492,Property 1,p3s-1,p3n-1,6441.212121,15.36666667,66429,39.6,white,4,3,2,2108,2002,2397.575758,39.2,0.7305231464,['Burbank Unified School District'],0.07502569373,4.5,0.1852517986,0.3491778006,6037310800,6,310800,"Census Tract 3108, Los Angeles County, California",2136454,0.825,37,3,34.1741488,-118.3221829,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/33c77d1b45912882?cells=test""""></iframe>",white alone,15000,1,1
14,22,3s,1,Property 1,22000,22000,5492,Property 1,p3s-1,p3n-1,6441.212121,15.36666667,66429,39.6,white,4,3,2,2108,2002,2397.575758,39.2,0.7305231464,['Burbank Unified School District'],0.07502569373,4.5,0.1852517986,0.3491778006,6037310800,6,310800,"Census Tract 3108, Los Angeles County, California",2136454,0.825,37,3,34.1741488,-118.3221829,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/33c77d1b45912882?cells=test""""></iframe>",white alone,22000,1,1
17,27,3s,1,Property 2,5000,-5000,3831,Property 2,p3s-1,p3n-1,7034.33923,15.83333333,66103,40.3,asian,4,3,2,2116,2004,2601.456816,39.3,0.09763313609,"['Alhambra Unified School District', 'Montebello Unified School District']",0.1370691393,4.6,0.1876637775,0.4208828865,6037482002,6,482002,"Census Tract 4820.02, Los Angeles County, California",2488396,0.961,37,3,34.0488369,-118.1482676,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""""></iframe>",asian,-5000,0,0
18,28,3s,1,Property 1,20000,20000,5492,Property 1,p3s-1,p3n-1,6441.212121,15.36666667,66429,39.6,white,4,3,2,2108,2002,2397.575758,39.2,0.7305231464,['Burbank Unified School District'],0.07502569373,4.5,0.1852517986,0.3491778006,6037310800,6,310800,"Census Tract 3108, Los Angeles County, California",2136454,0.825,37,3,34.1741488,-118.3221829,"<iframe width=""""100%"""" height=""""401"""" frameborder=""""0""""   src=""""https://observablehq.com/embed/33c77d1b45912882?cells=test""""></iframe>",white alone,20000,1,1
