	id	question	sexual_orientation	age	marital_status	demographic_race	gender	ethnicity	residency_type	education	RE_job	ownership	treatment	property_chosen	abs_value_diff	value_diff	p_id	Index	question_treatment	question_control	population_density	walk_score	median_household_income	median_age	nb_race	median_rooms_rounded	bedrooms	bathrooms	sq_ft	year_built	housing_density	median_male_age	pct_white	school_districts	pct_lt_hs_grad	median_rooms	pct_hs_grad	pct_at_least_col_grad	GEOID	state	tract	NAME	ALAND	ALAND_SQMI	county	Pair_ID	INTPTLAT	INTPTLONG	iframe	Racial majority detail
0	73	3s	Heterosexual	33	Widowed	White	Female	No	Rural area: I live outside a metropolitan area.	Bachelor's	I have never studied or worked in this field.	I currently own property.	1.0	Property 2	100000	-100000	2	3831	p3s-1	p3n-1	7034	15	66103	40	asian	4.6	3	2	2116	2002	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
1	74	3s	Heterosexual	44	Single	White	Male	No	Suburban area: I live in a metropolitan area, but not in a city.	Bachelor's	I have never studied or worked in this field.	I currently rent from a property owner or management company	1.0	Property 2	100000	-100000	2	3831	p3s-1	p3n-1	7034	15	66103	40	asian	4.6	3	2	2116	2002	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
2	78	3s	Heterosexual	42	Married	White	Female	No	Suburban area: I live in a metropolitan area, but not in a city.	High school	I have never studied or worked in this field.	I currently own property.	1.0	Property 2	2000	-2000	2	3831	p3s-1	p3n-1	7034	15	66103	40	asian	4.6	3	2	2116	2002	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
3	81	3s	Heterosexual	32	In a domestic partnership	Black or African American	Male	Yes	Urban area: I live within the principal city of a metropolitan area.	Bachelor's	I have never studied or worked in this field.	I currently own property.	1.0	Property 2	5000	-5000	2	3831	p3s-1	p3n-1	7034	15	66103	40	asian	4.6	3	2	2116	2002	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
4	82	3s	Heterosexual	41	Single	White	Female	No	Urban area: I live within the principal city of a metropolitan area.	Bachelor's	I have never studied or worked in this field.	I currently rent from a property owner or management company	1.0	Property 2	75000	-75000	2	3831	p3s-1	p3n-1	7034	15	66103	40	asian	4.6	3	2	2116	2002	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
5	87	3s	Heterosexual	28	In a domestic partnership	White	Male	No	Suburban area: I live in a metropolitan area, but not in a city.	Bachelor's	I have never studied or worked in this field.	I currently own property.	1.0	Property 2	200000	-200000	2	3831	p3s-1	p3n-1	7034	15	66103	40	asian	4.6	3	2	2116	2002	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
6	88	3s	Heterosexual	47	Single	White	Male	No	Urban area: I live within the principal city of a metropolitan area.	Bachelor's	I have never studied or worked in this field.	I currently own property.	1.0	Property 1	60000	60000	1	5492	p3s-1	p3n-1	6441	15	66429	39	white	4.5	3	2	2108	2004	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
7	89	3s	Heterosexual	43	Single	White	Female	No	Suburban area: I live in a metropolitan area, but not in a city.	Associate's	I have never studied or worked in this field.	I currently own property.	1.0	Property 2	50000	-50000	2	3831	p3s-1	p3n-1	7034	15	66103	40	asian	4.6	3	2	2116	2002	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
8	92	3s	Heterosexual	30	Married	White	Female	No	Suburban area: I live in a metropolitan area, but not in a city.	Associate's	I have never studied or worked in this field.	I currently own property.	1.0	Property 2	10000	-10000	2	3831	p3s-1	p3n-1	7034	15	66103	40	asian	4.6	3	2	2116	2002	2601.456816	39.3	0.09763313608999999	['Alhambra Unified School District', 'Montebello Unified School District']	0.1370691393	4.6	0.1876637775	0.4208828865	6037482002	6	482002	Census Tract 4820.02, Los Angeles County, California	2488396	0.961	37	3	34.0488369	-118.1482676	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/52127d97bfcbeea0?cells=test""></iframe>"	asian
9	94	3s	Heterosexual	33	Single	White	Male	No	Urban area: I live within the principal city of a metropolitan area.	Bachelor's	I have never studied or worked in this field.	I currently rent from a property owner or management company	1.0	Property 1	40000	40000	1	5492	p3s-1	p3n-1	6441	15	66429	39	white	4.5	3	2	2108	2004	2397.575758	39.2	0.7305231464	['Burbank Unified School District']	0.07502569373	4.5	0.1852517986	0.34917780060000003	6037310800	6	310800	Census Tract 3108, Los Angeles County, California	2136454	0.825	37	3	34.1741488	-118.32218290000002	"<iframe width=""100%"" height=""401"" frameborder=""0""   src=""https://observablehq.com/embed/33c77d1b45912882?cells=test""></iframe>"	white alone
